,Unnamed: 0,Postcode,Postcode Latitude,Postcode Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,0,M1B,43.8066863,-79.19435340000003,Wendy's,43.807448419347566,-79.19905558052072,Fast Food Restaurant
1,1,M1C,43.7845351,-79.16049709999999,Royal Canadian Legion,43.782533328382975,-79.16308473261681,Bar
2,2,M1E,43.7635726,-79.1887115,Swiss Chalet Rotisserie & Grill,43.76769708292701,-79.1899135003439,Pizza Place
3,3,M1E,43.7635726,-79.1887115,G & G Electronics,43.765309,-79.191537,Electronics Store
4,4,M1E,43.7635726,-79.1887115,Marina Spa,43.766000000000005,-79.191,Spa
5,5,M1E,43.7635726,-79.1887115,Big Bite Burrito,43.766299084470795,-79.19071980583941,Mexican Restaurant
6,6,M1E,43.7635726,-79.1887115,Enterprise Rent-A-Car,43.76407570000001,-79.1934057,Rental Car Location
7,7,M1E,43.7635726,-79.1887115,Woburn Medical Centre,43.766631153138455,-79.19228553771974,Medical Center
8,8,M1E,43.7635726,-79.1887115,Lawrence Ave E & Kingston Rd,43.767703999999995,-79.18949,Intersection
9,9,M1E,43.7635726,-79.1887115,Eggsmart,43.7678,-79.190466,Breakfast Spot
10,10,M1G,43.7709921,-79.21691740000001,Starbucks,43.77003720162522,-79.22115586641958,Coffee Shop
11,11,M1G,43.7709921,-79.21691740000001,Tim Hortons,43.7708270725628,-79.22307810384153,Coffee Shop
12,12,M1G,43.7709921,-79.21691740000001,Korean Grill House,43.770811729135396,-79.21450208834013,Korean Restaurant
13,13,M1G,43.7709921,-79.21691740000001,Leslie & Giles Insurance Limited,43.773116200000004,-79.21955859999998,Insurance Office
14,14,M1H,43.773136,-79.23947609999998,Federick Restaurant,43.77469659057996,-79.24114242818267,Hakka Restaurant
15,15,M1H,43.773136,-79.23947609999998,Drupati's Roti & Doubles,43.775222138791534,-79.2416776100103,Caribbean Restaurant
16,16,M1H,43.773136,-79.23947609999998,Centennial Recreation Centre,43.774593308903405,-79.23649962433034,Athletics & Sports
17,17,M1H,43.773136,-79.23947609999998,Thai One On,43.77446763641414,-79.24126833717742,Thai Restaurant
18,18,M1H,43.773136,-79.23947609999998,TD Canada Trust,43.77495189482367,-79.24134314060211,Bank
19,19,M1H,43.773136,-79.23947609999998,B&A Bakery,43.774390743891146,-79.24387684648542,Bakery
20,20,M1H,43.773136,-79.23947609999998,Popeyes Louisiana Kitchen,43.7759298356196,-79.23532833470263,Fried Chicken Joint
