Postal Code,Latitude,Longitude
M1B,43.806686299999996,-79.19435340000001
M1C,43.7845351,-79.16049709999999
M1E,43.7635726,-79.1887115
M1G,43.7709921,-79.21691740000001
M1H,43.773136,-79.23947609999999
M1J,43.7447342,-79.23947609999999
M1K,43.7279292,-79.26202940000002
M1L,43.711111700000004,-79.2845772
M1M,43.716316,-79.23947609999999
M1N,43.692657000000004,-79.2648481
M1P,43.7574096,-79.27330400000001
M1R,43.750071500000004,-79.2958491
M1S,43.7942003,-79.26202940000002
M1T,43.7816375,-79.3043021
M1V,43.8152522,-79.2845772
M1W,43.799525200000005,-79.3183887
M1X,43.836124700000006,-79.20563609999999
M2H,43.8037622,-79.3634517
M2J,43.7785175,-79.3465557
M2K,43.7869473,-79.385975
M2L,43.7574902,-79.37471409999999
M2M,43.789053,-79.40849279999999
M2N,43.7701199,-79.40849279999999
M2P,43.752758299999996,-79.4000493
M2R,43.7827364,-79.4422593
M3A,43.7532586,-79.3296565
M3B,43.745905799999996,-79.352188
M3C,43.72589970000001,-79.340923
M3H,43.7543283,-79.4422593
M3J,43.7679803,-79.48726190000001
M3K,43.737473200000004,-79.46476329999999
M3L,43.7390146,-79.5069436
M3M,43.7284964,-79.49569740000001
M3N,43.7616313,-79.52099940000001
M4A,43.725882299999995,-79.31557159999998
M4B,43.7063972,-79.309937
M4C,43.695343900000005,-79.3183887
M4E,43.67635739999999,-79.2930312
M4G,43.7090604,-79.3634517
M4H,43.7053689,-79.34937190000001
M4J,43.685347,-79.3381065
M4K,43.6795571,-79.352188
M4L,43.6689985,-79.31557159999998
M4M,43.6595255,-79.340923
M4N,43.7280205,-79.3887901
M4P,43.7127511,-79.3901975
M4R,43.7153834,-79.40567840000001
M4S,43.7043244,-79.3887901
M4T,43.6895743,-79.38315990000001
M4V,43.68641229999999,-79.4000493
M4W,43.6795626,-79.37752940000001
M4X,43.667967,-79.3676753
M4Y,43.6658599,-79.38315990000001
M5A,43.6542599,-79.3606359
M5B,43.6571618,-79.37893709999999
M5C,43.6514939,-79.3754179
M5E,43.644770799999996,-79.3733064
M5G,43.6579524,-79.3873826
M5H,43.65057120000001,-79.3845675
M5J,43.6408157,-79.38175229999999
M5K,43.6471768,-79.38157640000001
M5L,43.6481985,-79.37981690000001
M5M,43.7332825,-79.4197497
M5N,43.7116948,-79.41693559999999
M5P,43.6969476,-79.41130720000001
M5R,43.6727097,-79.40567840000001
M5S,43.6626956,-79.4000493
M5T,43.6532057,-79.4000493
M5V,43.6289467,-79.3944199
M5W,43.6464352,-79.37484599999999
M5X,43.6484292,-79.3822802
M6A,43.718517999999996,-79.46476329999999
M6B,43.709577,-79.44507259999999
M6C,43.6937813,-79.42819140000002
M6E,43.6890256,-79.453512
M6G,43.669542,-79.4225637
M6H,43.66900510000001,-79.4422593
M6J,43.647926700000006,-79.4197497
M6K,43.6368472,-79.42819140000002
M6L,43.713756200000006,-79.4900738
M6M,43.6911158,-79.47601329999999
M6N,43.67318529999999,-79.48726190000001
M6P,43.6616083,-79.46476329999999
M6R,43.6489597,-79.456325
M6S,43.6515706,-79.4844499
M7A,43.6623015,-79.3894938
M7R,43.6369656,-79.61581899999999
M7Y,43.6627439,-79.321558
M8V,43.6056466,-79.50132070000001
M8W,43.60241370000001,-79.54348409999999
M8X,43.653653600000005,-79.5069436
M8Y,43.6362579,-79.49850909999999
M8Z,43.6288408,-79.52099940000001
M9A,43.6678556,-79.53224240000002
M9B,43.6509432,-79.55472440000001
M9C,43.6435152,-79.57720079999999
M9L,43.7563033,-79.56596329999999
M9M,43.7247659,-79.53224240000002
M9N,43.706876,-79.51818840000001
M9P,43.696319,-79.53224240000002
M9R,43.6889054,-79.55472440000001
M9V,43.739416399999996,-79.5884369
M9W,43.706748299999994,-79.5940544
